waypoint1	waypoint2	distance_m	duration_s
"Place du Palais, Monaco-Ville, Monaco"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	307393	13099
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Grand Place, Brussels, Belgium"	310470	11757
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	420453	18501
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	924926	33994
"Mont Boron, Nice, France"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	479602	18695
"Grand Place, Brussels, Belgium"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	252775	10123
"Vernazza, Province of La Spezia, Italy"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	258882	11663
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	1150938	37164
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Mont Boron, Nice, France"	194004	8564
"Piazza San Pietro, Vatican City"	"Place du Capitole, Toulouse, France"	1267065	44165
"Andorra la Vella, Andorra"	"Crimeo 114, 6563 Mesocco, Switzerland"	1095226	41041
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Promenade des Anglais, Nice, France"	605075	21639
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	694994	26287
"Vernazza, Province of La Spezia, Italy"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	949872	35111
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	307453	12317
"Oberstdorf, Germany"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	78295	3819
"BMW Welt, Munich, Germany"	"Place du Palais, Monaco-Ville, Monaco"	792336	30181
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	2491	664
"Oberstdorf, Germany"	"Mont Boron, Nice, France"	665974	27753
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	1357567	47541
"Piazza della Signoria, Florence, Italy"	"Palace of Westminster, London, United Kingdom"	1596965	56244
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	716408	25346
